capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,date_diff_days
4000787030016,0,112.0,45296584.0,91.0,0.0,100.0,11.0,100.0,0.0,86.0,407785145.0,69.0,27841.0,100.0,0.0,100.0,11.0,100.0,0.0,95.0,11954.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0,76
12000138625024,0,77.0,44707392.0,90.0,0.0,100.0,8.0,100.0,0.0,72.0,15741128.0,89.0,9879.0,100.0,0.0,100.0,7.0,100.0,116.0,99.0,2534.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,11
4000787030016,0,115.0,84965040.0,98.0,0.0,100.0,2.0,100.0,0.0,86.0,424712604.0,69.0,27341.0,100.0,0.0,100.0,2.0,100.0,0.0,95.0,11496.0,19.0,19.0,100.0,8.0,100.0,8.0,200.0,0.0,36
500107862016,0,82.0,156186168.0,100.0,0.0,100.0,7.0,100.0,0.0,82.0,147775839.0,100.0,801.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,27.0,27.0,27.0,100.0,0.0,100.0,0.0,200.0,0.0,21
12000138625024,0,76.0,36875136.0,97.0,0.0,100.0,3.0,100.0,56.0,86.0,390486216.0,88.0,10644.0,100.0,0.0,100.0,2.0,100.0,110.0,100.0,663.0,22.0,22.0,100.0,0.0,100.0,0.0,200.0,0.0,62
4000787030016,0,113.0,53593464.0,92.0,0.0,100.0,15.0,100.0,0.0,87.0,470967886.0,68.0,28391.0,100.0,0.0,100.0,14.0,100.0,0.0,99.0,3849.0,18.0,18.0,100.0,0.0,100.0,0.0,200.0,0.0,9
6001175126016,0,114.0,61871648.0,89.0,0.0,100.0,20.0,100.0,0.0,93.0,2286730928.0,63.0,32923.0,100.0,0.0,100.0,19.0,100.0,0.0,7.0,187191.0,24.0,24.0,100.0,0.0,100.0,0.0,200.0,0.0,64
12000138625024,0,68.0,6627072.0,97.0,0.0,100.0,3.0,100.0,0.0,89.0,801525431.0,91.0,8534.0,100.0,0.0,100.0,2.0,100.0,114.0,100.0,443.0,29.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,77
12000138625024,0,77.0,51499488.0,97.0,0.0,100.0,3.0,100.0,112.0,89.0,793864990.0,92.0,7210.0,100.0,0.0,100.0,2.0,100.0,124.0,100.0,522.0,32.0,32.0,100.0,64.0,100.0,64.0,200.0,0.0,41
8001563222016,0,80.0,106965888.0,99.0,0.0,100.0,2.0,100.0,0.0,95.0,2855028563.0,87.0,11650.0,100.0,0.0,100.0,2.0,100.0,5.0,95.0,10443.0,25.0,25.0,100.0,0.0,100.0,0.0,200.0,0.0,43
4000787030016,0,119.0,217186912.0,95.0,0.0,100.0,5.0,100.0,0.0,85.0,338721330.0,69.0,27323.0,100.0,0.0,100.0,5.0,100.0,0.0,95.0,10513.0,23.0,23.0,100.0,0.0,100.0,0.0,200.0,0.0,83
8001563222016,0,84.0,226080560.0,94.0,0.0,100.0,5.0,100.0,40.0,94.0,2600242540.0,87.0,12245.0,100.0,0.0,100.0,5.0,100.0,9.0,94.0,13036.0,38.0,38.0,100.0,0.0,100.0,0.0,200.0,0.0,44
12000138625024,0,80.0,98409944.0,99.0,0.0,100.0,1.0,100.0,0.0,89.0,826663631.0,94.0,6034.0,100.0,0.0,100.0,1.0,100.0,55.0,100.0,323.0,35.0,35.0,100.0,0.0,100.0,0.0,200.0,0.0,35
12000138625024,0,83.0,200330200.0,97.0,0.0,100.0,3.0,100.0,1528.0,86.0,421733559.0,88.0,10645.0,100.0,0.0,100.0,2.0,100.0,118.0,100.0,710.0,20.0,20.0,100.0,0.0,100.0,0.0,200.0,0.0,32
12000138625024,0,82.0,153671371.0,96.0,0.0,100.0,3.0,100.0,0.0,84.0,273018159.0,93.0,6202.0,100.0,0.0,100.0,3.0,100.0,31.0,94.0,13228.0,26.0,26.0,100.0,0.0,100.0,0.0,200.0,0.0,77
500107862016,0,100.0,0.0,100.0,2070.0,100.0,4.0,100.0,0.0,100.0,0.0,75.0,10155.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,9307.0,100.0,28.0,100.0,40.0,100.0,0.0,200.0,0.0,9
